brand_name,brand_key,log_date,search_index_score,is_control
Dior,dior,2026-02-16,1.0,True
SAINT LAURENT,saint laurent,2026-02-16,0.2375,False
VALETTE STUDIO,valette studio,2026-02-16,0.0,False
AURALEE,auralee,2026-02-16,0.0,False
LOUIS VUITTON,louis vuitton,2026-02-16,0.675,False
Dior,dior,2026-02-17,1.0,True
SAINT LAURENT,saint laurent,2026-02-17,0.24,False
VALETTE STUDIO,valette studio,2026-02-17,0.0,False
AURALEE,auralee,2026-02-17,0.0,False
LOUIS VUITTON,louis vuitton,2026-02-17,0.666667,False
Dior,dior,2026-02-18,1.0,True
SAINT LAURENT,saint laurent,2026-02-18,0.24,False
VALETTE STUDIO,valette studio,2026-02-18,0.0,False
AURALEE,auralee,2026-02-18,0.0,False
LOUIS VUITTON,louis vuitton,2026-02-18,0.626667,False
Dior,dior,2026-02-19,1.0,True
SAINT LAURENT,saint laurent,2026-02-19,0.246753,False
VALETTE STUDIO,valette studio,2026-02-19,0.0,False
AURALEE,auralee,2026-02-19,0.0,False
LOUIS VUITTON,louis vuitton,2026-02-19,0.623377,False
Dior,dior,2026-02-20,1.0,True
SAINT LAURENT,saint laurent,2026-02-20,0.222222,False
VALETTE STUDIO,valette studio,2026-02-20,0.0,False
AURALEE,auralee,2026-02-20,0.0,False
LOUIS VUITTON,louis vuitton,2026-02-20,0.654321,False
Dior,dior,2026-02-21,1.0,True
SAINT LAURENT,saint laurent,2026-02-21,0.234043,False
VALETTE STUDIO,valette studio,2026-02-21,0.0,False
AURALEE,auralee,2026-02-21,0.010638,False
LOUIS VUITTON,louis vuitton,2026-02-21,0.659574,False
Dior,dior,2026-02-22,1.0,True
SAINT LAURENT,saint laurent,2026-02-22,0.213483,False
VALETTE STUDIO,valette studio,2026-02-22,0.0,False
AURALEE,auralee,2026-02-22,0.0,False
LOUIS VUITTON,louis vuitton,2026-02-22,0.696629,False
Dior,dior,2026-02-23,1.0,True
SAINT LAURENT,saint laurent,2026-02-23,0.24359,False
VALETTE STUDIO,valette studio,2026-02-23,0.0,False
AURALEE,auralee,2026-02-23,0.0,False
LOUIS VUITTON,louis vuitton,2026-02-23,0.653846,False
Dior,dior,2026-02-24,1.0,True
SAINT LAURENT,saint laurent,2026-02-24,0.22973,False
VALETTE STUDIO,valette studio,2026-02-24,0.0,False
AURALEE,auralee,2026-02-24,0.0,False
LOUIS VUITTON,louis vuitton,2026-02-24,0.675676,False
Dior,dior,2026-02-25,1.0,True
SAINT LAURENT,saint laurent,2026-02-25,0.246753,False
VALETTE STUDIO,valette studio,2026-02-25,0.0,False
AURALEE,auralee,2026-02-25,0.012987,False
LOUIS VUITTON,louis vuitton,2026-02-25,0.701299,False
Dior,dior,2026-02-26,1.0,True
SAINT LAURENT,saint laurent,2026-02-26,0.230769,False
VALETTE STUDIO,valette studio,2026-02-26,0.0,False
AURALEE,auralee,2026-02-26,0.0,False
LOUIS VUITTON,louis vuitton,2026-02-26,0.653846,False
Dior,dior,2026-02-27,1.0,True
SAINT LAURENT,saint laurent,2026-02-27,0.234568,False
VALETTE STUDIO,valette studio,2026-02-27,0.0,False
AURALEE,auralee,2026-02-27,0.012346,False
LOUIS VUITTON,louis vuitton,2026-02-27,0.666667,False
Dior,dior,2026-02-28,1.0,True
SAINT LAURENT,saint laurent,2026-02-28,0.244186,False
VALETTE STUDIO,valette studio,2026-02-28,0.0,False
AURALEE,auralee,2026-02-28,0.011628,False
LOUIS VUITTON,louis vuitton,2026-02-28,0.674419,False
Dior,dior,2026-03-01,1.0,True
SAINT LAURENT,saint laurent,2026-03-01,0.238636,False
VALETTE STUDIO,valette studio,2026-03-01,0.0,False
AURALEE,auralee,2026-03-01,0.011364,False
LOUIS VUITTON,louis vuitton,2026-03-01,0.647727,False
Dior,dior,2026-03-02,1.0,True
SAINT LAURENT,saint laurent,2026-03-02,0.236842,False
VALETTE STUDIO,valette studio,2026-03-02,0.0,False
AURALEE,auralee,2026-03-02,0.0,False
LOUIS VUITTON,louis vuitton,2026-03-02,0.644737,False
Dior,dior,2026-03-03,1.0,True
SAINT LAURENT,saint laurent,2026-03-03,0.236842,False
VALETTE STUDIO,valette studio,2026-03-03,0.0,False
AURALEE,auralee,2026-03-03,0.0,False
LOUIS VUITTON,louis vuitton,2026-03-03,0.592105,False
Dior,dior,2026-03-04,1.0,True
SAINT LAURENT,saint laurent,2026-03-04,0.25,False
VALETTE STUDIO,valette studio,2026-03-04,0.0,False
AURALEE,auralee,2026-03-04,0.0,False
LOUIS VUITTON,louis vuitton,2026-03-04,0.595238,False
Dior,dior,2026-03-05,1.0,True
SAINT LAURENT,saint laurent,2026-03-05,0.22619,False
VALETTE STUDIO,valette studio,2026-03-05,0.0,False
AURALEE,auralee,2026-03-05,0.011905,False
LOUIS VUITTON,louis vuitton,2026-03-05,0.571429,False
Dior,dior,2026-03-06,1.0,True
SAINT LAURENT,saint laurent,2026-03-06,0.22093,False
VALETTE STUDIO,valette studio,2026-03-06,0.0,False
AURALEE,auralee,2026-03-06,0.0,False
LOUIS VUITTON,louis vuitton,2026-03-06,0.581395,False
Dior,dior,2026-03-07,1.0,True
SAINT LAURENT,saint laurent,2026-03-07,0.21,False
VALETTE STUDIO,valette studio,2026-03-07,0.0,False
AURALEE,auralee,2026-03-07,0.01,False
LOUIS VUITTON,louis vuitton,2026-03-07,0.61,False
Dior,dior,2026-03-08,1.0,True
SAINT LAURENT,saint laurent,2026-03-08,0.212121,False
VALETTE STUDIO,valette studio,2026-03-08,0.0,False
AURALEE,auralee,2026-03-08,0.010101,False
LOUIS VUITTON,louis vuitton,2026-03-08,0.616162,False
Dior,dior,2026-03-09,1.0,True
SAINT LAURENT,saint laurent,2026-03-09,0.238095,False
VALETTE STUDIO,valette studio,2026-03-09,0.0,False
AURALEE,auralee,2026-03-09,0.0,False
LOUIS VUITTON,louis vuitton,2026-03-09,0.595238,False
Dior,dior,2026-03-10,1.0,True
SAINT LAURENT,saint laurent,2026-03-10,0.225,False
VALETTE STUDIO,valette studio,2026-03-10,0.0,False
AURALEE,auralee,2026-03-10,0.0125,False
LOUIS VUITTON,louis vuitton,2026-03-10,0.6,False
Dior,dior,2026-03-11,1.0,True
SAINT LAURENT,saint laurent,2026-03-11,0.219512,False
VALETTE STUDIO,valette studio,2026-03-11,0.0,False
AURALEE,auralee,2026-03-11,0.0,False
LOUIS VUITTON,louis vuitton,2026-03-11,0.597561,False
Dior,dior,2026-03-12,1.0,True
SAINT LAURENT,saint laurent,2026-03-12,0.216867,False
VALETTE STUDIO,valette studio,2026-03-12,0.0,False
AURALEE,auralee,2026-03-12,0.0,False
LOUIS VUITTON,louis vuitton,2026-03-12,0.614458,False
Dior,dior,2026-03-13,1.0,True
SAINT LAURENT,saint laurent,2026-03-13,0.228261,False
VALETTE STUDIO,valette studio,2026-03-13,0.0,False
AURALEE,auralee,2026-03-13,0.01087,False
LOUIS VUITTON,louis vuitton,2026-03-13,0.576087,False
Dior,dior,2026-03-14,1.0,True
SAINT LAURENT,saint laurent,2026-03-14,0.21875,False
VALETTE STUDIO,valette studio,2026-03-14,0.0,False
AURALEE,auralee,2026-03-14,0.010417,False
LOUIS VUITTON,louis vuitton,2026-03-14,0.65625,False
Dior,dior,2026-03-15,1.0,True
SAINT LAURENT,saint laurent,2026-03-15,0.265957,False
VALETTE STUDIO,valette studio,2026-03-15,0.0,False
AURALEE,auralee,2026-03-15,0.010638,False
LOUIS VUITTON,louis vuitton,2026-03-15,0.648936,False
Dior,dior,2026-03-16,1.0,True
SAINT LAURENT,saint laurent,2026-03-16,0.256098,False
VALETTE STUDIO,valette studio,2026-03-16,0.0,False
AURALEE,auralee,2026-03-16,0.0,False
LOUIS VUITTON,louis vuitton,2026-03-16,0.646341,False
Dior,dior,2026-03-17,1.0,True
SAINT LAURENT,saint laurent,2026-03-17,0.220779,False
VALETTE STUDIO,valette studio,2026-03-17,0.0,False
AURALEE,auralee,2026-03-17,0.0,False
LOUIS VUITTON,louis vuitton,2026-03-17,0.623377,False
Dior,dior,2026-03-18,1.0,True
SAINT LAURENT,saint laurent,2026-03-18,0.2375,False
VALETTE STUDIO,valette studio,2026-03-18,0.0,False
AURALEE,auralee,2026-03-18,0.0,False
LOUIS VUITTON,louis vuitton,2026-03-18,0.6,False
